technology,year,parameter,value,unit,source,further description,currency_year
ror,2030,investment,3000,EUR/kW,DIW DataDoc http://hdl.handle.net/10419/80348,,2020
ror,2030,FOM,2,%/year,DIW DataDoc http://hdl.handle.net/10419/80348,,2020
ror,2030,efficiency,0.9,per unit,DIW DataDoc http://hdl.handle.net/10419/80348,,2020
solar,2030,FOM,1.9495,%/year,Calculated. See 'further description'.,Mixed investment costs based on average of 50% 'solar-rooftop' and 50% 'solar-utility',2020
solar,2030,VOM,0.0106,EUR/MWh,RES costs made up to fix curtailment order,from old pypsa cost assumptions,2020
solar,2030,investment,1231,EUR/kW,Calculated. See 'further description'.,Mixed investment costs based on average of 50% 'solar-rooftop' and 50% 'solar-utility',2020
solar,2030,lifetime,40,years,Calculated. See 'further description'.,Mixed investment costs based on average of 50% 'solar-rooftop' and 50% 'solar-utility',2020
solar-rooftop,2030,discount rate,0.04,per unit,standard for decentral,,2020
solar-rooftop,2030,lifetime,25,years,IEA2010,,2020
solar-rooftop,2030,investment,725,EUR/kWel,ETIP PV,,2020
solar-rooftop,2030,FOM,2,%/year,ETIP PV,,2020
solar-utility,2030,lifetime,25,years,IEA2010,,2020
solar-utility,2030,investment,425,EUR/kWel,ETIP PV,,2020
solar-utility,2030,FOM,3,%/year,ETIP PV,,2020
uranium,2030,fuel,3,EUR/MWhth,DIW DataDoc http://hdl.handle.net/10419/80348,,2020
water tank charger,2030,efficiency,0.9,per unit,HP,,2020
water tank discharger,2030,efficiency,0.9,per unit,HP,,2020
