id,Name,Fueltype,Technology,Country,Capacity,lat,lon,Efficiency,Duration,DateIn,DateOut,Set
PE32EO,P.EOLICO PAMPA ENERGIA,onwind,Onshore,AR,27,-38.6605,-62.0524,,,,,PP
PEDR,SCC POWER SAN PEDRO S.A.,CCGT,CCGT,AR,219,-33.7778,-59.7267,0.55,,,,PP
PEP3EO,P.EOLICO PAMPA ENERGIA,onwind,Onshore,AR,50,-38.6605,-62.0524,,,,,PP
PEP6EO,P.EOLICO PAMPA ENERGIA,onwind,Onshore,AR,140,-38.6605,-62.0524,,,,,PP
PILA,CT PILAR - EPEC,CCGT,CCGT,AR,466,-34.4021,-58.9656,0.55,,,,PP
PINFFV,PQUE SOLAR PAMPA DEL INFIERNO,solar,Pv,AR,130,-26.4917,-61.2126,,,,,PP
PIQI,CENTRAL TERMICA PIQUIRENDA,OCGT,OCGT,AR,30,-22.3504,-63.7673,0.4,,,,PP
PMA1EO,P.EOLICO MADRYN 1 GENNEIA,onwind,Onshore,AR,71,-42.7354,-65.2487,,,,,PP
PMA2EO,P.EOLICO MADRYN 2 GENNEIA,onwind,Onshore,AR,151,-42.7354,-65.2487,,,,,PP
PMAD,C.T. PATAGONICAS SA,OCGT,OCGT,AR,42,-45.9073,-67.5917,0.4,,,,PP
PNEGHI,C.H.PUNTA NEGRA - EPSE,hydro,Run-Of-River,AR,63,-31.519,-68.816,0.9,,,,PP
PNUE,CENTRAL PUERTO SA,OCGT,OCGT,AR,589,-34.5754,-58.3805,0.4,,,,PP
POM1EO,P.EOLICO POMONA 1 - RENOVAR,onwind,Onshore,AR,101,-39.559,-65.7259,,,,,PP
PPLEHI,PICHI PICUN LEUFU,hydro,Reservoir,AR,285,-40.0123,-69.9838,0.9,,,,PP
PPNO,GENERADORA ELEC.TUCUMAN SA,OCGT,OCGT,AR,232,-26.8679,-65.2223,0.4,,,,PP
QULLHI,QUEBRADA ULLUM - EPSE,hydro,Run-Of-River,AR,45,-31.474,-68.65,0.9,,,,PP
RAW1EO,P.EOLICO RAWSON I,onwind,Onshore,AR,53,-43.327,-65.1828,,,,,PP
RAW2EO,P.EOLICO RAWSON II,onwind,Onshore,AR,31,-43.327,-65.1828,,,,,PP
RAW3EO,P.EOLICO RAWSON III - GENNEIA,onwind,Onshore,AR,25,-43.327,-65.1828,,,,,PP
REAL,CT REALICO - SECCO,OCGT,OCGT,AR,24,-35.0396,-64.2518,0.4,,,,PP
RENO,CT RENOVA - ALBANESI ENERGIA,CCGT,CCGT,AR,172,-32.5785,-60.7905,0.55,,,,PP
REOLHI,EPEC GENERACION,hydro,Run-Of-River,AR,33,-32.191,-64.323,0.9,,,,PP
RGDEHB,EPEC GENERACION,hydro,Pumped Storage,AR,750,-32.224,-64.5673,0.8,0,,,Store
ROCA,CT ROCA SA,CCGT,CCGT,AR,193,-38.9462,-67.6011,0.55,,,,PP
ROJO,CT GENERAL ROJO,CCGT,CCGT,AR,258,-33.4556,-60.2809,0.55,,,,PP
RUFI,CT RUFINO Sta Fe - ENARSA,OCGT,OCGT,AR,32,-34.2635,-62.7159,0.4,,,,PP
SAL2,CT SALTO 2 - SoENERGY,OCGT,OCGT,AR,63,-34.3066,-60.2249,0.4,,,,PP
SAUJFV,PQUE SOLAR SAUJIL,solar,Pv,AR,23,-28.1588,-66.2195,,,,,PP
SERT,CT RIO TERCERO II - SoENERGY,OCGT,OCGT,AR,60,-32.1614,-64.1546,0.4,,,,PP
SFRA,EPEC GENERACION,OCGT,OCGT,AR,23,-31.8964,-64.2718,0.4,,,,PP
SGDEHIAR,CTM SALTO GRANDE,hydro,Run-Of-River,AR,945,-31.2751,-57.9385,0.9,,,,PP
SJMTEO,P.EOLICO MATACO 3 PICOS,onwind,Onshore,AR,203,-38.3198,-62.2828,,,,,PP
SLUNEO,P.EOLICO SAN LUIS NORTE,onwind,Onshore,AR,113,-32.7756,-66.3536,,,,,PP
SMTU,CT SAN MIGUEL DE TUCUMAN,CCGT,CCGT,AR,382,-26.8674,-65.2219,0.55,,,,PP
SNIC,C.TERMICA SAN NICOLAS,OCGT,OCGT,AR,675,-33.3545,-60.1748,0.4,,,,PP
SOES,EPEC GENERACION,OCGT,OCGT,AR,60,-31.8964,-64.2718,0.4,,,,PP
SORR,C.TERMICA SORRENTO,OCGT,OCGT,AR,217,-32.9064,-60.6817,0.4,,,,PP
SROQHI,EPEC GENERACION,hydro,Run-Of-River,AR,24,-31.3533,-64.3938,0.9,,,,PP
SULLFV,GENNEIA S.A.EOLICOS,solar,Pv,AR,78,-31.3831,-68.6719,,,,,PP
SVIC,CT SAN VICENTE BsAs - ENARSA,OCGT,OCGT,AR,28,-35.0437,-58.3255,0.4,,,,PP
TAND,C.T. SALTA (TERMOANDES),CCGT,CCGT,AR,643,-24.7429,-65.0516,0.55,,,,PP
TER2EO,P.EOLICO LOS TEROS - MATER,onwind,Onshore,AR,52,-37.1102,-59.7466,,,,,PP
TER6,TERMINAL 6 COGENERACION PUERTO,CCGT,CCGT,AR,372,-32.6631,-60.7491,0.55,,,,PP
TEROEO,P.EOLICO LOS TEROS - MATER,onwind,Onshore,AR,123,-37.1102,-59.7466,,,,,PP
TIMB,TERMOELE. JOSE SAN MARTIN S.A,CCGT,CCGT,AR,864,-32.5785,-60.7905,0.55,,,,PP
TOC3FV,P.S.F.V. TOCOTA III,solar,Pv,AR,60,-30.8231,-69.47,,,,,PP
TUCU,CT TUCUMAN,CCGT,CCGT,AR,447,-26.8674,-65.2219,0.55,,,,PP
ULL3FV,PQUE SOLAR ULLUM 3,solar,Pv,AR,32,-31.3411,-68.6705,,,,,PP
ULLUHI,HIDROTERMICA SAN JUAN,hydro,Run-Of-River,AR,42,-31.4555,-68.756,0.9,,,,PP
ULN1FV,PQUE SOLAR ULLUM 1,solar,Pv,AR,25,-31.3411,-68.6705,,,,,PP
ULN2FV,PQUE SOLAR ULLUM 2,solar,Pv,AR,25,-31.3411,-68.6705,,,,,PP
VGAD,CT GRAL. VILLEGAS - AGGREKO,OCGT,OCGT,AR,24,-35.0309,-63.0033,0.4,,,,PP
VGES,CT VILLA GESELL-CATLANT.,OCGT,OCGT,AR,80,-37.2491,-56.9975,0.4,,,,PP
VIVOEO,P.EOLICO 3 PICOS MATER,onwind,Onshore,AR,50,-38.3198,-62.2828,,,,,PP
VLONEO,P.EOLICO VILLALONGA,onwind,Onshore,AR,52,-40.0314,-62.6509,,,,,PP
VMA2,CT VILLA MARIA,CCGT,CCGT,AR,255,-32.4279,-63.1719,0.55,,,,PP
VOBL,CT VUELTA DE OBLIGADO,CCGT,CCGT,AR,847,-32.5822,-60.7951,0.55,,,,PP
VSECEO,P.EOLICO VIENTOS DEL SECANO,onwind,Onshore,AR,50,-39.2145,-62.5679,,,,,PP
YACYHI,E.B. YACYRETA,hydro,Run-Of-River,AR,1550,-27.4823,-56.7212,0.9,,,,PP
ZAPA,CT ZAPPALORTO - APR ENERGY,OCGT,OCGT,AR,108,-34.6839,-58.7444,0.4,,,,PP
ZARA,CT LAS PALMAS 2 - ARAUCARIA,OCGT,OCGT,AR,213,-34.0802,-59.1251,0.4,,,,PP
ZONDFV,PQUE SOLAR ZONDA,solar,Pv,AR,100,-30.5777,-69.3082,,,,,PP
